country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2014-04-15,2015-08-05,477,2014,4,2,1
INDIA,H-1B,MISSISSIPPI,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-05-16,2015-08-20,461,2014,5,2,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,SOFTWARE ENGINEERING,2014-05-27,2015-08-18,448,2014,5,2,1
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,PUBLIC ADMINISTRATION,2014-04-30,2015-07-28,454,2014,4,2,2
CHINA,NOT IN USA,GEORGIA,UNKNOWN,DENIED,HIGH SCHOOL,ELECTRIC AND ELECTROTECHNICS,2014-05-23,2015-08-14,448,2014,5,2,4
CHINA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,INTERDISCIPLINARY ENGINEERING (ENGINEERING RELATED),2014-06-30,2015-09-11,438,2014,6,2,0
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,APPLIED COMPUTING,2014-05-22,2015-08-19,454,2014,5,2,3
NETHERLANDS,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-05-02,2015-08-17,472,2014,5,2,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-05-09,2015-08-14,462,2014,5,2,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-05-30,2015-08-14,441,2014,5,2,4
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,TECHNOLOGY,2014-05-06,2015-08-13,464,2014,5,2,1
PHILIPPINES,H-1B,MARYLAND,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2014-04-29,2015-08-10,468,2014,4,2,1
PANAMA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,FOREIGN LANGUAGE (ENGLISH) EDUCATION,2014-04-28,2015-08-10,469,2014,4,2,0
SOUTH KOREA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-18,2015-07-29,467,2014,4,2,4
SOUTH KOREA,E-2,ILLINOIS,UNKNOWN,CERTIFIED,HIGH SCHOOL,UNKNOWN,2014-04-15,2015-08-11,483,2014,4,2,1
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-05-01,2015-08-19,475,2014,5,2,3
CHINA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-16,2015-08-06,477,2014,4,2,2
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2014-04-24,2015-08-07,470,2014,4,2,3
SOUTH KOREA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,HOME ECONOMICS,2014-05-28,2015-08-17,446,2014,5,2,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-04-15,2015-08-05,477,2014,4,2,1
CHINA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-04-17,2015-08-03,473,2014,4,2,3
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING (BIOMEDICAL),2014-04-17,2015-08-10,480,2014,4,2,3
SOUTH KOREA,F-1,MARYLAND,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-28,2015-08-26,485,2014,4,2,0
CANADA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-05-08,2015-08-13,462,2014,5,2,3
INDIA,NOT IN USA,VIRGINIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-10,2015-07-29,475,2014,4,2,3
INDIA,UNKNOWN,MICHIGAN,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS AND COMMUNICATIONS ENGINEERING,2014-04-17,2015-08-03,473,2014,4,2,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-05-09,2015-08-20,468,2014,5,2,4
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATION,2014-12-18,2015-06-19,183,2014,12,4,3
ROMANIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-04-29,2015-07-28,455,2014,4,2,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,MASTER OF BUSINESS ADMINISTATION,2014-04-27,2015-07-23,452,2014,4,2,6
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS,2014-04-11,2015-08-05,481,2014,4,2,4
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-24,2015-07-31,463,2014,4,2,3
CANADA,TN,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING (ENGINEERING RELATED),2014-06-24,2015-08-31,433,2014,6,2,1
GUATEMALA,EWI,NEW JERSEY,UNKNOWN,CERTIFIED,HIGH SCHOOL,SECONDARY EDUCATION,2014-04-11,2015-08-06,482,2014,4,2,4
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-17,2015-08-07,477,2014,4,2,3
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,MBA IN FINANCE,2014-05-01,2015-08-17,473,2014,5,2,3
FRANCE,H-1B,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-05-12,2015-08-24,469,2014,5,2,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION AND COMPUTER INFORMATION SYSTEMS,2014-07-23,2015-09-30,434,2014,7,3,2
UNITED KINGDOM,H-1B,ARIZONA,UNKNOWN,DENIED,BACHELOR'S,SOCIOLOGY,2014-05-02,2015-08-26,481,2014,5,2,4
PHILIPPINES,H-1B,ALASKA,UNKNOWN,DENIED,MASTER'S,SPECIAL EDUCATION,2014-05-23,2015-07-01,404,2014,5,2,4
GREECE,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION NETWORKING,2014-05-10,2015-08-21,468,2014,5,2,5
FRANCE,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,ASSOCIATE'S,REAL ESTATE,2014-04-27,2015-08-07,467,2014,4,2,6
CHINA,UNKNOWN,GEORGIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-24,2015-08-06,469,2014,4,2,3
CHINA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,MATHEMATICS,2014-04-18,2015-08-06,475,2014,4,2,4
INDIA,H-1B,VIRGINIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS,2014-05-02,2015-08-19,474,2014,5,2,4
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,MEDICAL BIOLOGY,2014-05-09,2015-08-17,465,2014,5,2,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,ASSOCIATE'S,BUSINESS ADMINISTRATION,2014-05-01,2015-08-14,470,2014,5,2,3
SOUTH KOREA,E-2,ALABAMA,UNKNOWN,CERTIFIED,HIGH SCHOOL,OCCUPATIONAL STUDIES (ELECTRICAL ENGINEERING TECHNOLOGIES),2014-05-06,2015-08-19,470,2014,5,2,1
SOUTH KOREA,F-1,NEW JERSEY,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-29,2015-07-23,450,2014,4,2,1
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-06-30,2015-08-27,423,2014,6,2,0
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS,2014-05-19,2015-08-13,451,2014,5,2,0
CHINA,UNKNOWN,GEORGIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-17,2015-07-24,463,2014,4,2,3
POLAND,B-2,ILLINOIS,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL,2014-04-17,2015-07-23,462,2014,4,2,3
SOUTH KOREA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-21,2015-07-24,459,2014,4,2,0
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL,2014-05-01,2015-08-17,473,2014,5,2,3
TURKEY,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-06-27,2015-08-28,427,2014,6,2,4
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-11,2015-08-04,480,2014,4,2,4
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,FINANCE,2014-05-14,2015-08-21,464,2014,5,2,2
JAPAN,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER INFORMATION SYSTEMS,2014-04-29,2015-07-24,451,2014,4,2,1
NIGERIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,HUMAN RESOURCES MANAGEMENT,2014-05-02,2015-08-21,476,2014,5,2,4
SPAIN,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,DOCTORATE,ELECTRICAL ENGINEERING AND COMMUNICATIONS ENGINEERING,2014-06-04,2015-09-01,454,2014,6,2,2
VENEZUELA,H-1B,UNKNOWN,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2014-04-14,2015-08-17,490,2014,4,2,0
NEPAL,F-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,MASTER OF BUSINESS ADMINISTRATION IN FINANCIAL MANAGEMENT,2014-04-21,2015-08-06,472,2014,4,2,0
INDIA,H-1B,OHIO,UNKNOWN,CERTIFIED,BACHELOR'S,TELECOMMUNICATIONS ENGINEERING,2014-04-23,2015-07-24,457,2014,4,2,2
NEW ZEALAND,H-1B,MINNESOTA,UNKNOWN,CERTIFIED,ASSOCIATE'S,AGRICULTURE,2014-04-17,2015-08-10,480,2014,4,2,3
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2014-05-02,2015-08-20,475,2014,5,2,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL ENGINEERING AND MANAGEMENT,2014-05-05,2015-08-12,464,2014,5,2,0
MEXICO,TN,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ACCOUNTING,2014-04-24,2015-07-24,456,2014,4,2,3
SOUTH KOREA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-05-01,2015-08-19,475,2014,5,2,3
SOUTH KOREA,E-2,ALABAMA,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION,2014-05-08,2015-08-26,475,2014,5,2,3
INDIA,F-1,LOUISIANA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL & COMPUTER ENGINEERING,2014-04-28,2015-07-24,452,2014,4,2,0
INDIA,NOT IN USA,PENNSYLVANIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2014-04-17,2015-08-04,474,2014,4,2,3
ITALY,E-2,SOUTH CAROLINA,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL,2014-06-17,2015-09-21,461,2014,6,2,1
ECUADOR,EWI,MASSACHUSETTS,UNKNOWN,CERTIFIED,OTHER,GENERAL HIGH SCHOOL STUDIES,2014-04-18,2015-08-06,475,2014,4,2,4
INDIA,H-4,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-04-29,2015-07-24,451,2014,4,2,1
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-05-05,2015-04-24,354,2014,5,2,0
COLOMBIA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,DOCTORATE,ROMANCE LANGUAGES - SPANISH,2014-05-09,2015-08-13,461,2014,5,2,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,FINANCE,2014-04-25,2014-11-18,207,2014,4,2,4
CHINA,H-1B,MASSACHUSETTS,UNKNOWN,DENIED,MASTER'S,ENVIRONMENTAL SCIENCE AND ENGINEERING,2014-04-24,2015-07-31,463,2014,4,2,3
INDIA,H-1B,MISSOURI,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-05-13,2015-08-21,465,2014,5,2,1
PHILIPPINES,H-1B,ARIZONA,UNKNOWN,CERTIFIED,BACHELOR'S,MODERN LANGUAGES - ENGLISH,2014-04-24,2015-08-06,469,2014,4,2,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-05-02,2015-08-19,474,2014,5,2,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS,2014-05-07,2015-02-20,289,2014,5,2,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,DIGITAL MEDIA,2014-05-02,2015-08-25,480,2014,5,2,4
TAIWAN,F-1,COLORADO,UNKNOWN,DENIED,MASTER'S,MASTER OF RADIOLOGY SCIENCE,2014-04-24,2014-11-12,202,2014,4,2,3
ITALY,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-18,2015-08-07,476,2014,4,2,4
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-05-22,2015-08-12,447,2014,5,2,3
COLOMBIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,INDUSTRIAL MANAGEMENT & INTERNATIONAL TRANSPORTATION,2014-05-14,2015-08-13,456,2014,5,2,2
INDIA,PAROLEE,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2014-06-11,2015-09-03,449,2014,6,2,2
CANADA,E-2,CONNECTICUT,UNKNOWN,CERTIFIED,MASTER'S,MASTER OF BUSINESS ADMINISTRATION,2014-04-23,2015-07-29,462,2014,4,2,2
PHILIPPINES,H-1B,NEW MEXICO,UNKNOWN,CERTIFIED,BACHELOR'S,EDUCATION,2014-04-14,2015-07-24,466,2014,4,2,0
INDIA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,MANAGEMENT,2014-04-14,2015-08-06,479,2014,4,2,0
CHINA,UNKNOWN,FLORIDA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-24,2015-07-27,459,2014,4,2,3
ISRAEL,PAROLEE,NEW YORK,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-28,2015-07-29,457,2014,4,2,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER INFORMATION SYSTEMS,2014-05-06,2015-08-25,476,2014,5,2,1
INDIA,H-1B,OHIO,UNKNOWN,DENIED,MASTER'S,MECHANICAL ENGINEERING,2014-06-22,2015-09-09,444,2014,6,2,6
INDIA,H-1B,MISSISSIPPI,UNKNOWN,CERTIFIED,MASTER'S,MATHEMATICS,2014-04-15,2015-08-03,475,2014,4,2,1
SOUTH KOREA,B-2,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-18,2015-08-10,479,2014,4,2,4
ITALY,H-1B,SOUTH CAROLINA,UNKNOWN,CERTIFIED,BACHELOR'S,BIOLOGY,2014-04-15,2015-08-05,477,2014,4,2,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS & COMMUNICATION ENGINEERING,2014-04-28,2015-07-29,457,2014,4,2,0
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,INDUSTRIAL ENGINEERING & MANAGEMENT,2014-12-01,2015-06-09,190,2014,12,4,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-05-23,2015-08-19,453,2014,5,2,4
SOUTH KOREA,F-1,MICHIGAN,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-16,2015-08-11,482,2014,4,2,2
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ACUPUNCTURE AND ORIENTAL MEDICINE,2014-04-21,2015-07-29,464,2014,4,2,0
SOUTH KOREA,F-1,SOUTH CAROLINA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-24,2015-07-30,462,2014,4,2,3
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,BIOTECHNOLOGY,2014-04-24,2015-08-04,467,2014,4,2,3
POLAND,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-03-31,2015-07-16,472,2014,3,1,0
SOUTH KOREA,E-2,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-03-31,2015-07-23,479,2014,3,1,0
ROMANIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2014-04-18,2015-07-24,462,2014,4,2,4
MEXICO,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,GRAPHIC DESIGN,2014-04-25,2015-07-24,455,2014,4,2,4
MEXICO,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-05-13,2015-08-25,469,2014,5,2,1
JAPAN,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,ASSOCIATE'S,ENGLISH,2014-04-30,2015-07-29,455,2014,4,2,2
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-18,2015-07-22,460,2014,4,2,4
CANADA,H-1B,FLORIDA,UNKNOWN,CERTIFIED,MASTER'S,MBA BUS. ADMIN. (BS MATH & STATISTICS),2014-05-21,2015-08-12,448,2014,5,2,2
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-05-05,2015-08-20,472,2014,5,2,0
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-18,2015-07-23,461,2014,4,2,4
CHINA,UNKNOWN,OREGON,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-15,2015-07-28,469,2014,4,2,1
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-05-27,2015-08-14,444,2014,5,2,1
TAIWAN,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,BIOSTATISTICS,2014-04-23,2015-07-23,456,2014,4,2,2
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2014-05-14,2015-08-21,464,2014,5,2,2
CANADA,TN,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING PHYSICS (PHYSICS RELATED),2014-06-06,2015-09-02,453,2014,6,2,4
CHINA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING (ENGINEERING RELATED),2014-07-16,2015-09-24,435,2014,7,3,2
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-11,2015-08-05,481,2014,4,2,4
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-11,2015-08-03,479,2014,4,2,4
CHINA,UNKNOWN,NEW YORK,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-20,2015-08-10,477,2014,4,2,6
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2014-12-02,2015-06-09,189,2014,12,4,1
PHILIPPINES,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,BACHELOR'S,NURSING,2014-05-29,2015-08-14,442,2014,5,2,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL AND COMPUTER ENGINEERING,2014-12-08,2015-06-09,183,2014,12,4,0
UNITED STATES OF AMERICA,E-2,CALIFORNIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL,2014-05-01,2015-08-17,473,2014,5,2,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-05-22,2015-08-25,460,2014,5,2,3
SOUTH KOREA,E-2,ALABAMA,UNKNOWN,CERTIFIED,HIGH SCHOOL,UNKNOWN,2014-04-28,2015-07-23,451,2014,4,2,0
AUSTRALIA,E-3,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,SOFTWARE ENGINEERING,2014-05-12,2015-08-03,448,2014,5,2,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-04-23,2015-07-28,461,2014,4,2,2
SOUTH KOREA,F-2,CALIFORNIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-05-07,2015-04-10,338,2014,5,2,2
CHINA,H-1B,NEW YORK,UNKNOWN,DENIED,MASTER'S,COMMUNICATION  ARTS,2014-04-22,2015-06-03,407,2014,4,2,1
INDIA,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2014-04-18,2015-07-30,468,2014,4,2,4
FRANCE,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING,2014-05-13,2015-08-12,456,2014,5,2,1
POLAND,B-2,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-06-03,2015-09-21,475,2014,6,2,1
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,BACHELOR'S,INFORMATION TECHNOLOGY AND PRODUCTION ENGINEERING,2014-06-06,2015-09-23,474,2014,6,2,4
BRAZIL,F-1,FLORIDA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-07,2015-08-10,490,2014,4,2,0
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,DOCTORATE,ELECTRICAL ENGINEERING,2014-04-21,2015-08-04,470,2014,4,2,0
BRAZIL,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-04-24,2015-07-29,461,2014,4,2,3
CHINA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2014-06-19,2015-04-10,295,2014,6,2,3
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-18,2015-08-05,474,2014,4,2,4
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,MECHANICAL ENGINEERING,2014-06-25,2015-09-02,434,2014,6,2,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-04-23,2015-07-29,462,2014,4,2,2
COLOMBIA,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,BACHELOR'S,MATHEMATICS EDUCATION,2014-04-17,2015-08-11,481,2014,4,2,3
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER SCIENCE,2014-06-07,2015-09-04,454,2014,6,2,5
SOUTH KOREA,UNKNOWN,FLORIDA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-20,2015-08-10,477,2014,4,2,6
SOUTH KOREA,F-1,VIRGINIA,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL STUDY,2014-05-13,2015-08-14,458,2014,5,2,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER ENGINEERING,2014-06-03,2015-09-15,469,2014,6,2,1
INDIA,H-1B,MICHIGAN,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2015-01-27,2015-07-30,184,2015,1,1,1
INDIA,UNKNOWN,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ECONOMICS,2014-04-28,2015-07-30,458,2014,4,2,0
BELARUS,L-1,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER INFORMATION SYSTEMS,2014-04-25,2015-08-05,467,2014,4,2,4
PHILIPPINES,NOT IN USA,TEXAS,UNKNOWN,CERTIFIED,HIGH SCHOOL,GENERAL EDUCATION,2014-04-22,2015-08-05,470,2014,4,2,1
PAKISTAN,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2014-04-09,2015-07-24,471,2014,4,2,2
INDIA,UNKNOWN,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2014-04-29,2015-08-04,462,2014,4,2,1
CHINA,H-1B1,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMMUNICATIONS AND COMPUTER INFORMATION SYSTEMS,2014-11-10,2015-04-20,161,2014,11,4,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,VLSI DESIGN (EQUIVALENT TO ELECTRICAL ENGINEERING),2014-04-23,2015-07-29,462,2014,4,2,2
CHINA,F-1,NORTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-05-02,2015-08-12,467,2014,5,2,4
EGYPT,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-06-03,2015-09-02,456,2014,6,2,1
SOUTH KOREA,F-1,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,PHYSICAL EDUCATION,2014-05-08,2015-08-21,470,2014,5,2,3
CANADA,TN,PENNSYLVANIA,UNKNOWN,CERTIFIED,BACHELOR'S,ACCOUNTING,2014-07-09,2015-09-30,448,2014,7,3,2
ITALY,H-1B,FLORIDA,UNKNOWN,CERTIFIED,MASTER'S,ENVIRONMENTAL ENGINEERING,2014-06-24,2015-09-29,462,2014,6,2,1
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2014-04-18,2015-08-06,475,2014,4,2,4
SOUTH KOREA,F-1,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-04-09,2015-08-12,490,2014,4,2,2
