country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
UNITED KINGDOM,H-1B,NEW YORK,UNKNOWN,CERTIFIED,OTHER,LONDON CHAMBER OF COMMERCE PRIVATE SECRETARY CERTIFICATE,2013-11-20,2015-05-26,552,2013,11,4,2
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2013-11-19,2015-05-26,553,2013,11,4,1
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING IN ELECTRONICS AND COMMUNICATION,2013-11-18,2015-05-22,550,2013,11,4,0
INDIA,H-1B,OHIO,UNKNOWN,CERTIFIED,MASTER'S,MECHANICAL ENGINEERING,2013-11-14,2015-05-11,543,2013,11,4,3
SOUTH KOREA,UNKNOWN,ALABAMA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRIC ENGINEERING,2013-11-11,2015-05-07,542,2013,11,4,0
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-11,2015-07-08,604,2013,11,4,0
TANZANIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ACCOUNTING AND FINANCE,2013-11-19,2015-05-14,541,2013,11,4,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,MANAGEMENT & MANAGEMENT INFORMATION SYSTEMS,2013-11-13,2015-05-20,553,2013,11,4,2
INDIA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,MASTER'S,INFORMATION SYSTEMS,2014-01-13,2015-06-16,519,2014,1,1,0
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,COMMERCE,2013-11-22,2015-05-22,546,2013,11,4,4
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-11,2015-05-13,548,2013,11,4,0
PAKISTAN,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,MANAGEMENT SCIENCE AND ENGINEERING,2013-12-03,2015-05-28,541,2013,12,4,1
GRENADA,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,BACHELOR'S,MANAGEMENT INFORMATION SYSTEMS,2013-11-20,2015-05-19,545,2013,11,4,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER APPLICATIONS (3 YEAR DEGREE),2013-12-04,2015-06-30,573,2013,12,4,2
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2013-11-21,2015-06-24,580,2013,11,4,3
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER APPLICATIONS,2013-11-15,2015-05-18,549,2013,11,4,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,ECONOMICS,2013-11-12,2015-05-21,555,2013,11,4,1
SOUTH KOREA,F-1,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,ECONOMICS,2013-11-12,2015-05-21,555,2013,11,4,1
ECUADOR,UNKNOWN,NEW JERSEY,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-12,2015-05-22,556,2013,11,4,1
RUSSIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-11-20,2015-05-12,538,2013,11,4,2
SOUTH KOREA,R-1,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2012-11-19,2015-05-28,920,2012,11,4,0
FRANCE,E-2,TEXAS,UNKNOWN,CERTIFIED,HIGH SCHOOL,MECHANICAL CONSTRUCTION,2013-12-12,2015-05-29,533,2013,12,4,3
CANADA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,DOCTORATE,PSYCHOLOGY,2015-03-06,2015-09-23,201,2015,3,1,4
